IATA;ICAO;Merk;Type;Wake;Cat;Capaciteit;Vracht
14Y;B462;British Aerospace;BAe 146 Freighter (-200QT & QC);M;Pax;;
14Z;B463;British Aerospace;BAe 146 Freighter (-200QT & QC);M;Pax;;
31F;A31F;Airbus;Airbus A310 Freighter;M;Freighter;0;35
31X;A31F;Airbus;Airbus A310-200 Freighter;M;Freighter;0;35
31Y;A31F;Airbus;Airbus A310-300 Freighter;M;Freighter;0;35
32S;n/a;Airbus;Airbus A318/319/320/321;M;Pax;180;8
33F;A33F;Airbus;Airbus A330-200 Freighter;H;Freighter;0;70
351;A351;Airbus;Airbus A350-1000;H;Pax;366;8
359;A359;Airbus;Airbus A350-900;H;Pax;325;8
38F;;Airbus;Airbus A380 Freighter;H;Freighter;;
70F;B703;Boeing;Boeing 707 Freighter;H;Freighter;;
70M;B703;Boeing;Boeing 707 Combi;H;Combi;;
72B;B721;Boeing;Boeing 727-100 Mixed Configuration;M;Mixed;;
72C;B722;Boeing;Boeing 727-200 Mixed Configuration;M;Mixed;;
72F;n/a;Boeing;Boeing 727 Freighter (-100/200);M;Freighter;;
72M;n/a;Boeing;Boeing 727 Combi;M;Combi;;
72S;B722;Boeing;Boeing 727-200 Advanced pax;M;Pax;;
72X;B721;Boeing;Boeing 727-100 Freighter;M;Freighter;;
72Y;B722;Boeing;Boeing 727-200 Freighter;M;Freighter;;
73F;n/a;Boeing;Boeing 737 all Freighter models;M;Freighter;;
73G;B737;Boeing;Boeing 737-700 pax;M;Pax;150;8
73H;B738;Boeing;Boeing 737-800 (winglets) pax;M;Pax;180;5
73M;B732;Boeing;Boeing 737-200 Combi;M;Combi;;
73W;B737;Boeing;Boeing 737-700 (winglets) pax;M;Pax;;
73X;B732;Boeing;Boeing 737-200 Freighter;M;Freighter;;
73Y;B733;Boeing;Boeing 737-300 Freighter;M;Freighter;;
74C;B742;Boeing;Boeing 747-200 Combi;H;Combi;;
74D;B743;Boeing;Boeing 747-300 Combi;H;Combi;;
74E;B744;Boeing;Boeing 747-400 Combi;H;Pax;225;14
74F;n/a;Boeing;Boeing 747 all Freighter models;H;Freighter;;
74J;B744;Boeing;Boeing 747-400 (Domestic) pax;H;Pax;;
74L;N74S;Boeing;Boeing 747SP;H;Pax;300;
74M;n/a;Boeing;Boeing 747 all Combi models;H;Combi;;
74R;B74R;Boeing;Boeing 747SR pax;H;Pax;;
74T;B741;Boeing;Boeing 747-100 Freighter;H;Freighter;;
74U;B743;Boeing;Boeing 747-300 / 747-200 SUD Freighter;H;Freighter;;
74V;B74R;Boeing;Boeing 747SR Freighter;H;Freighter;;
74X;B742;Boeing;Boeing 747-200 Freighter;H;Freighter;0;36
74Y;B744;Boeing;Boeing 747-400 Freighter;H;Freighter;0;60
75F;B752;Boeing;Boeing 757-200 Freighter;H;Freighter;0;45
75M;B752;Boeing;Boeing 757 Mixed Configuration;H;Mixed;;
76F;n/a;Boeing;Boeing 767 all Freighter models;H;Freighter;0;38
76X;B762;Boeing;Boeing 767-200 Freighter;H;Freighter;;
76Y;B763;Boeing;Boeing 767-300 Freighter;H;Freighter;;
77F;B772;Boeing;Boeing 777-200 Freighter;H;Freighter;0;40
A26;AN26;Antonov;Antonov AN-26;L;Light;;
A28;AN28;Antonov;Antonov AN-28 / PZL Miele M-28 Skytruck;L;Light;;
A30;AN30;Antonov;Antonov AN-30;L;Light;;
A32;AN32;Antonov;Antonov AN-32;L;Light;;
A40;A140;Antonov;Antonov AN-140;M;;;
A4F;A124;Antonov;Antonov AN-124 Ruslan;H;;;
AB3;A30B;Airbus;Airbus Industrie A300 pax;H;Pax;275;5
AB4;A30B;Airbus;Airbus Industrie A300B2/B4/C4 pax;H;Pax;275;5
